Model,Accuracy,F1 (weighted)
Logistic Regression,0.7730724971231301,0.7736877257344174
LDA,0.7514384349827388,0.7542824227142135
QDA,0.7035673187571921,0.6938250953551675
Naive Bayes,0.5659378596087457,0.5192236170821217
