Metric,Linear (OLS),Poisson
RMSE,143.8014970803038,145.5567331340092
MAE,107.66730398252972,105.95665855617555
AIC,166048.7973489104,1339665.4291521702
BIC,166145.97646479998,1339762.6082680598
