Model,Accuracy,ROC AUC,F1 (weighted),Precision (weighted),Recall (weighted)
Logistic Regression,0.8879171461449943,0.9566833822908739,0.8878619557413798,0.8887680392805251,0.8879171461449943
LDA,0.8757192174913694,0.9537969920351477,0.875407183487897,0.8797087952111033,0.8757192174913694
QDA,0.8225546605293441,0.9103351331515153,0.8190298111707719,0.8503365317667696,0.8225546605293441
Naive Bayes,0.714614499424626,0.79204557204047,0.689702549672049,0.8174668749093666,0.714614499424626
